City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,AQI,AQI_Bucket
Bengaluru,2015-03-21,48.59,70.46,3.47,27.0,18.04,28.02,3.89,1.94,52.96,21.33,196.72,91.0,Satisfactory
Bengaluru,2015-03-22,47.38,70.46,2.84,22.39,15.33,23.19,11.29,2.05,71.85,14.97,138.2,120.0,Moderate
Bengaluru,2015-03-23,65.65,70.46,3.1,26.35,17.45,27.76,9.95,6.3,72.84,9.88,100.77,154.0,Moderate
Bengaluru,2015-03-24,60.47,70.46,5.39,29.87,20.88,35.1,1.46,6.07,64.12,5.9,61.48,119.0,Moderate
Bengaluru,2015-03-25,62.56,70.46,3.16,23.57,16.39,27.13,10.05,4.98,82.34,4.53,39.99,232.0,Poor
Bengaluru,2015-03-26,60.73,70.46,4.16,32.07,21.03,34.71,1.44,1.67,67.21,1.36,13.28,132.0,Moderate
Bengaluru,2015-03-27,42.1,70.46,4.01,25.55,17.37,30.96,2.85,2.46,51.93,0.14,3.71,123.0,Moderate
Bengaluru,2015-03-28,40.0,70.46,2.93,17.99,11.36,28.74,8.07,2.5,44.65,0.14,8.39,152.0,Moderate
Bengaluru,2015-03-29,32.16,70.46,2.38,12.9,8.3,21.5,8.53,2.08,56.31,0.15,8.53,143.0,Moderate
Bengaluru,2015-03-30,30.78,70.46,2.68,16.23,14.63,26.96,1.46,2.63,49.52,0.14,2.07,80.0,Satisfactory
Bengaluru,2015-03-31,38.99,70.46,2.6,10.97,12.7,27.52,1.79,2.79,47.67,0.14,2.39,90.0,Satisfactory
Bengaluru,2015-04-01,36.42,70.46,2.68,8.83,9.13,31.37,9.6,3.17,48.25,0.14,8.16,151.0,Moderate
Bengaluru,2015-04-02,38.15,70.46,4.24,10.29,9.99,43.09,4.06,7.65,53.26,0.14,5.29,123.0,Moderate
Bengaluru,2015-04-03,35.11,70.46,2.63,5.99,6.82,26.04,5.34,2.32,57.75,0.14,7.4,178.0,Moderate
Bengaluru,2015-04-04,36.68,70.46,3.63,12.89,10.88,40.71,1.47,3.29,76.36,0.13,1.61,101.0,Moderate
Bengaluru,2015-04-05,36.92,70.46,2.2,9.0,7.6,26.22,9.58,4.07,65.62,0.14,12.02,160.0,Moderate
Bengaluru,2015-04-06,31.78,70.46,2.48,8.14,8.06,22.34,0.55,7.22,54.31,0.18,0.28,71.0,Satisfactory
