City,Timestamp,PM2_5,PM10,NO2,SO2,CO,O3,AQI,AQI_Bucket,Dominant_Pollutant
Delhi,2026-08-02 01:13:42,36.74,39.79,9.7,1.39,414.72,43.64,61,Satisfactory,PM2_5
Mumbai,2026-08-02 01:13:42,12.13,35.6,0.11,0.4,64.99,33.28,36,Good,PM10
Bangalore,2026-08-02 01:13:42,2.71,3.75,2.95,0.62,108.62,24.36,24,Good,O3
Kolkata,2026-08-02 01:13:42,13.05,18.4,1.26,1.0,138.48,63.51,64,Satisfactory,O3
Bhopal,2026-08-02 01:13:42,8.39,10.0,3.79,2.56,103.67,33.78,34,Good,O3
Lucknow,2026-08-02 01:13:43,14.27,17.1,6.52,1.77,252.8,45.56,46,Good,O3
Chennai,2026-08-02 01:13:43,5.57,8.78,11.85,4.66,176.19,19.83,20,Good,O3
Ahmedabad,2026-08-02 01:13:43,8.18,9.19,2.35,0.87,85.18,34.95,35,Good,O3
Patna,2026-08-02 01:13:44,16.83,21.3,5.67,1.01,336.23,13.39,28,Good,PM2_5
Shillong,2026-08-02 01:13:44,5.24,7.07,6.85,1.67,153.59,24.99,25,Good,O3
